file_name,caption
data/audiocaps/train/Yr1nicOVtvkQ.wav,A woman talks nearby as water pours
data/audiocaps/train/YUDGBjjwyaqE.wav,Multiple clanging and clanking sounds
data/audiocaps/train/Y3eJ9RynJzP8.wav,"The wind is blowing, insects are singing, and rustling occurs"
data/audiocaps/train/Y3eK62q7SnVU.wav,The wind is blowing and rustling occurs
data/audiocaps/train/Y3eGXNIadwGk.wav,Person is whistling
data/audiocaps/train/Y3eHYGSux1Ps.wav,"A motorboat cruises along, and a man talks"
data/audiocaps/train/Y3eNWJ4Hle6Y.wav,The sizzling of food while a dish is clanking
data/audiocaps/train/Y3eQYsDrfsTc.wav,Someone has a hiccup while typing
data/audiocaps/train/Y3eL37ZUN5S4.wav,Aircraft engine hum with man and woman speaking
data/audiocaps/train/Y3eN7ujFJzXQ.wav,Hissing followed by clanking dishes and speech
data/audiocaps/train/Ypgeooj3u3CM.wav,A woman is talking the whole time something is sprayed a few times in the middle
data/audiocaps/train/Ypgl_pG7j7d8.wav,A man talks nearby as water pours out of a faucet
data/audiocaps/train/Y3eSIVCoTR2I.wav,Crackling noise precedes a fly buzzing
data/audiocaps/train/Y3eZrNSkyUmA.wav,A dog whimpers quietly
data/audiocaps/train/Y1OIVJfQTGVk.wav,Engine revving loudly
data/audiocaps/train/Y1OIm8vLHCwo.wav,An adult female speaks and a cat meows
data/audiocaps/train/Y77gagnj481E.wav,Child giving a speech and crowd clapping
data/audiocaps/train/Y77fnehVF7wE.wav,A dog barks twice and then whimpers
data/audiocaps/train/Y1O662rM-u0E.wav,A whoosh sound is heard loudly as a car revs its engines
data/audiocaps/train/Y1O7-QuhweZE.wav,Children screaming in the background as the sound of water flowing by
data/audiocaps/train/Y1O2vHreD6eI.wav,"A motor vehicle engine is running, a decelerating buzzing occurs, mechanical whines occur, and the motor vehicle engine accelerates"
data/audiocaps/train/Y1O5u-mBU2JI.wav,"A man speaking in a foreign language, can hear doves in the background"
data/audiocaps/train/Y1OCyUeuv2-Q.wav,Men speaking then sneezing
data/audiocaps/train/Y1OI6GPNHhLg.wav,A man speaks slowly and with strength
